source_id,repository,ref,path,sha256,source_class,authority,scope,temporal_status,notes
R-M12-MAX-META,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,09_Logs/Calibration/M12_native_min_max_2026-07-28/station_LF_UPPER_M12_MAX_V14.meta,39901d388570d7f584df663e323af0b5742b5726555907e75c8f5c8cc31a7879,HARDWARE_OBSERVATION,SUPPORTING,M12 MAX run metadata,HARDWARE_EVIDENCE,Historical absolute paths are evidence content
R-STANCE-FRAME,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,06_Software/Matdog_Core/kinematics/MATDOG_STANCE_FRAME_CONTRACT.md,5288559ff9cb7495a121cf0ca2394a37a967031a5f8dffffc481674ff81a4871,MATDOG_VERIFIED,PRIMARY,Frame and ground conventions,CURRENT_CANONICAL,World not materialized in URDF
R-COLLISION,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,06_Software/Matdog_Core/kinematics/MATDOG_COLLISION_CONTACT_POLICY.md,d34795b9af3b5c88f4142de15a7ec3dab3a711f52d08b4bffd6203a1db56950d,MATDOG_DERIVED,PRIMARY,Offline collision and contact policy,CURRENT_SUPPORTING,Configuration-dependent
R-BODY-GEOM,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,06_Software/Matdog_Core/kinematics/MATDOG_BODY_STANCE_GEOMETRY.yaml,240d1784f62f18d92243c4a7701a4406098e9e047c2c46875e97edbd4e7ea8db,MATDOG_DERIVED,SUPPORTING,Body and nominal stance geometry,CURRENT_SUPPORTING,Design targets are not validated motion
R-FOOT-GEOM,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,06_Software/Matdog_Core/kinematics/MATDOG_FOOT_CONTACT_GEOMETRY.yaml,d355869397bc58bcf7bd98d0a99e1abc1339469869903efca9dcc79338518603,MATDOG_DERIVED,SUPPORTING,Nominal foot frame and contact geometry,CURRENT_SUPPORTING,Contact patch distinct from frame
R-LEG-CONTRACT,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,06_Software/Matdog_Core/kinematics/MATDOG_QUADRUPED_LEG_CONTRACT.md,6803e946561ea2e0b84450a095512a79fed2e810511c7921c728bc0e6450ec9d,MATDOG_VERIFIED,SUPPORTING,Leg ordering and chain contract,CURRENT_SUPPORTING,No new IK imported
R-TIMING,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,06_Software/Matdog_Core/kinematics/MATDOG_TRAJECTORY_TIMING_ENVELOPE.md,ab75bb4bcd0487ae9f577bf168b83f68668573283c3498f6d3370760eb857aa2,MATDOG_DERIVED,SUPPORTING,Existing offline trajectory timing boundary,CURRENT_SUPPORTING,Does not choose real-time rates
R-CURRENT-STATE,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,01_Docs/02_Architecture/CURRENT_STATE.md,c703b36a3221bc888906dad61fad53909084ce4273e842482fdfdac11e0e7dbf,MATDOG_VERIFIED,SUPPORTING,Repository state and missing subsystems,CURRENT_SUPPORTING,Read with later evidence
R-C5,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,06_Software/Matdog_Core/hardware/matdog_c5_supervised_first_stand_executor.py,5e39f3e71e77d07d93957bded512366e4359b04b12f6f349fdc78311357d98a8,SUPERSEDED,PRIMARY,Historical RF wrap/collision failure and old targets,SUPERSEDED,Not command eligible after digital recenter
R-C5R-HANDOFF,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,09_Logs/Development_Log/2026-07-10_C5R_POST_DIGITAL_ZERO_HANDOFF.md,bee836ea920f18e714c3bbcc0afa07210bf30d277f58fa0bf45ab2ab727fa63f,MATDOG_VERIFIED,SUPPORTING,Post-recenter boundary,CURRENT_SUPPORTING,Old raw targets superseded
R-NATIVE-HANDOFF,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,09_Logs/Development_Log/2026-07-21_NATIVE_NORMACORE_CALIBRATOR_HANDOFF.md,3b329246f99a11523c25bbf01054af4915b0298fc226bb9ec40830e33e0454ed,MATDOG_VERIFIED,SUPPORTING,Native calibrator handoff,CURRENT_SUPPORTING,Read with later checkpoints
R-M12-HANDOFF,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,09_Logs/Development_Log/2026-07-28_MATDOG_M12_MIN_MAX_HANDOFF.md,c34e9ea56f4fc8a1c4b42327bc6fcdc5d3958a97e9c1f2f8567b690c5f5ef5dc,MATDOG_VERIFIED,SUPPORTING,M12 MIN MAX handoff,CURRENT_SUPPORTING,Next profile not authorized here
R-ADR-ARCH,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,09_Logs/Architecture_Decisions/ADR-001_Quadruped_Control_Architecture.md,b9dea043fc55c38669aec17abf67bf8a952b39ff6fefdeb44073ea317feebb75,MATDOG_VERIFIED,SUPPORTING,Control architecture history,CURRENT_SUPPORTING,Future controller placement remains open
R-ADR-STATION,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,09_Logs/Architecture_Decisions/ADR-002_MATDOG_Repository_and_Station_Integration.md,0db0d690c4cc776e28ece4e0b4cb56cca7b4c5ef647e68ac08d90b09e45cea0d,MATDOG_VERIFIED,SUPPORTING,Station integration architecture,CURRENT_SUPPORTING,Current owner does not settle future architecture
R-ADR-URDF,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,09_Logs/Architecture_Decisions/ADR-003_URDF_REV00_Kinematic_Baseline.md,f8b090859c85574557f01217ba0d30fc16c3ec5e6165d23d01568a4167d42694,MATDOG_VERIFIED,SUPPORTING,URDF baseline decision,CURRENT_CANONICAL,REV00 authority
R-DIR-M13,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,09_Logs/Calibration_Sessions/2026-07-02_212421_m13_lf_hip_positive_probe.result.yaml,e3bab5f9375e13a0f1844950c88a573fbbdd27b1b263aedc8c2363846c24ebd3,HARDWARE_OBSERVATION,PRIMARY,M13 encoder-to-q direction,HARDWARE_EVIDENCE,PASS_DIRECTION_TEST
R-DIR-M12,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,09_Logs/Calibration_Sessions/2026-07-02_213021_m12_lf_upper_positive_probe.result.yaml,58a07518a4096367d5a9da62ddfe24e651543d245b7d4a253f4808fc0427aea0,HARDWARE_OBSERVATION,PRIMARY,M12 encoder-to-q direction,HARDWARE_EVIDENCE,PASS_DIRECTION_TEST
R-DIR-M11,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,09_Logs/Calibration_Sessions/2026-07-02_213351_m11_lf_lower_positive_probe.result.yaml,272d5e8e4e9158cd6ac058aaee1282aa132172c24e0faf3775f5b5e472a3afe3,HARDWARE_OBSERVATION,PRIMARY,M11 encoder-to-q direction,HARDWARE_EVIDENCE,PASS_DIRECTION_TEST
R-DIR-M23,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,09_Logs/Calibration_Sessions/2026-07-05_154026_m23_rf_hip_negative_probe.result.yaml,35cc68d2a1939f69c43194672d691573241c3b5017381f200189a708e0570213,HARDWARE_OBSERVATION,PRIMARY,M23 encoder-to-q direction,HARDWARE_EVIDENCE,PASS_DIRECTION_TEST
R-DIR-M22,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,09_Logs/Calibration_Sessions/2026-07-05_154229_m22_rf_upper_positive_probe.result.yaml,126fc98a1cf195d565ea2a68228f400179a6c3f625b18c50cdc09c87fbb4ed57,HARDWARE_OBSERVATION,PRIMARY,M22 encoder-to-q direction,HARDWARE_EVIDENCE,PASS_DIRECTION_TEST
R-DIR-M21,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,09_Logs/Calibration_Sessions/2026-07-05_154451_m21_rf_lower_negative_probe.result.yaml,2ffdf608e224cdc8cb92b2290d16b7682dbe40239136743d72ab40ed68b77d8c,HARDWARE_OBSERVATION,PRIMARY,M21 encoder-to-q direction,HARDWARE_EVIDENCE,PASS_DIRECTION_TEST
R-DIR-M33,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,09_Logs/Calibration_Sessions/2026-07-05_155142_m33_rh_hip_positive_probe.result.yaml,fdbe4015265f014696386dbdbf6fcbd7e2ad262afec9421f4a276b82de5f3c86,HARDWARE_OBSERVATION,PRIMARY,M33 encoder-to-q direction,HARDWARE_EVIDENCE,PASS_DIRECTION_TEST
R-DIR-M32,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,09_Logs/Calibration_Sessions/2026-07-05_155257_m32_rh_upper_positive_probe.result.yaml,efa75d9976b7b2486eca94a5b34636221eb7390be5837fe09391279a17b9dec8,HARDWARE_OBSERVATION,PRIMARY,M32 encoder-to-q direction,HARDWARE_EVIDENCE,PASS_DIRECTION_TEST
R-DIR-M31,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,09_Logs/Calibration_Sessions/2026-07-05_155450_m31_rh_lower_positive_probe.result.yaml,50e936d659790602fd81a759737cd66109a0cc12c4eb3632e2633f8565e47553,HARDWARE_OBSERVATION,PRIMARY,M31 encoder-to-q direction,HARDWARE_EVIDENCE,PASS_DIRECTION_TEST
R-DIR-M43,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,09_Logs/Calibration_Sessions/2026-07-05_155839_m43_lh_hip_positive_probe.result.yaml,2c66e5f88731f510d9cd88c8cffa72595350d4f38c6c2f2431d3202846dfc455,HARDWARE_OBSERVATION,PRIMARY,M43 encoder-to-q direction,HARDWARE_EVIDENCE,PASS_DIRECTION_TEST
R-DIR-M42,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,09_Logs/Calibration_Sessions/2026-07-05_160015_m42_lh_upper_positive_probe.result.yaml,2975850a1069ac6dbad3b45e3ca245087019f9e52a4a9873a7151d164f13fcea,HARDWARE_OBSERVATION,PRIMARY,M42 encoder-to-q direction,HARDWARE_EVIDENCE,PASS_DIRECTION_TEST
R-DIR-M41,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,09_Logs/Calibration_Sessions/2026-07-05_160206_m41_lh_lower_positive_probe.result.yaml,be68e79a07e8ce3b86fe659b29587efd622a0eae2bd0734cfda5ec71fee074c8,HARDWARE_OBSERVATION,PRIMARY,M41 encoder-to-q direction,HARDWARE_EVIDENCE,PASS_DIRECTION_TEST
N-MATDOG,MattRobotics/norma-core,32e3222c87016b7f5d7c1c1da497a4cea3e7b80a,software/drivers/st3215/src/auto_calibrate/matdog.rs,700dfb75ccc47ee2ba9685b6543ea087df953f95afc88579cf961f61acff2fd6,NORMACORE_MATDOG_FORK_MAIN_FACT,PRIMARY,24 profiles gates barriers cleanup and fixed timeout,CURRENT_CANONICAL,Fork-main implementation
N-MATDOG-TEST,MattRobotics/norma-core,32e3222c87016b7f5d7c1c1da497a4cea3e7b80a,software/drivers/st3215/src/auto_calibrate/matdog_test.rs,52df56ab941ddf2225118944bf4c7d8a7e65674b82853bc4612f9b24187ba0d8,NORMACORE_MATDOG_FORK_MAIN_FACT,PRIMARY,MATDOG native calibrator tests,CURRENT_SUPPORTING,Fork-main tests
N-CALIBRATOR,MattRobotics/norma-core,32e3222c87016b7f5d7c1c1da497a4cea3e7b80a,software/drivers/st3215/src/auto_calibrate/calibrator.rs,c0819f6655dd2561d248c2e1a82c45d069987bd08ff3432cd0827fbd89dc72e9,NORMACORE_GENERIC_REFERENCE,SECONDARY,Generic ST3215 auto calibration,CURRENT_SUPPORTING,Not MATDOG contact contract
N-SO101,MattRobotics/norma-core,32e3222c87016b7f5d7c1c1da497a4cea3e7b80a,software/drivers/st3215/src/auto_calibrate/so101.rs,ceeff53285b0b5f7079dd0f073c40cdb1a2c09d043653314cd194dd14e988dfd,NORMACORE_GENERIC_REFERENCE,SECONDARY,SO101 reset offset freeze flow,CURRENT_SUPPORTING,Not applicable to MATDOG contact calibration
N-ELROBOT,MattRobotics/norma-core,32e3222c87016b7f5d7c1c1da497a4cea3e7b80a,software/drivers/st3215/src/auto_calibrate/elrobot.rs,14e16e22dcdb0f0dbfd51cd2595a60c56b4c0896721fcd61dd0cf4562169ca9c,NORMACORE_GENERIC_REFERENCE,SECONDARY,ElRobot reset offset freeze flow,CURRENT_SUPPORTING,Not applicable to MATDOG contact calibration
N-DRIVER,MattRobotics/norma-core,32e3222c87016b7f5d7c1c1da497a4cea3e7b80a,software/drivers/st3215/src/driver.rs,5fe5a0dacd9809a0d5e468872605e98d4ce5ad656d0e758b5aaace461a334264,NORMACORE_MATDOG_FORK_MAIN_FACT,PRIMARY,ST3215 command and inference path,CURRENT_CANONICAL,Driver boundary
N-PORT,MattRobotics/norma-core,32e3222c87016b7f5d7c1c1da497a4cea3e7b80a,software/drivers/st3215/src/port.rs,4a2661c5a179b54ae3e8d2de53f394a4e667b632db5172fa2f17b538f9a77010,NORMACORE_MATDOG_FORK_MAIN_FACT,PRIMARY,Single ST3215 port worker,CURRENT_CANONICAL,Port ownership
N-STATE,MattRobotics/norma-core,32e3222c87016b7f5d7c1c1da497a4cea3e7b80a,software/drivers/st3215/src/state.rs,a32184e50aee76fd1c976e0bcaf62ad43652af80013d4cd91b869a7a5fd7c31f,NORMACORE_MATDOG_FORK_MAIN_FACT,PRIMARY,Inference state and timestamps,CURRENT_CANONICAL,Freshness source
N-PROTO-ST3215,MattRobotics/norma-core,32e3222c87016b7f5d7c1c1da497a4cea3e7b80a,protobufs/drivers/st3215/st3215.proto,1e03a22ebdc1bc656095cb6ead13a1d455dcee6d1cd1fd2f1101111351db3f1c,NORMACORE_MATDOG_FORK_MAIN_FACT,PRIMARY,ST3215 command inference protobuf,CURRENT_CANONICAL,Interface contract
N-PROTO-COMMAND,MattRobotics/norma-core,32e3222c87016b7f5d7c1c1da497a4cea3e7b80a,protobufs/station/commands.proto,d8246c9b410351280d6f477b6dcb0c6b05f76ec78a7d4081725f338a0919cb8a,NORMACORE_MATDOG_FORK_MAIN_FACT,PRIMARY,Station command envelope,CURRENT_CANONICAL,Interface contract
N-QUEUES,MattRobotics/norma-core,32e3222c87016b7f5d7c1c1da497a4cea3e7b80a,software/station/bin/station/src/queues.rs,c1bd1ec51928d37a5882591dd04ee182d8f978c52d7de97ef477fdff1005b2b7,NORMACORE_MATDOG_FORK_MAIN_FACT,PRIMARY,Station command queue,CURRENT_CANONICAL,Station path
N-PR-WORKFLOW,MattRobotics/norma-core,b06cc2bf2e36fb5bbaae12e48c5998c7668862ef,.github/workflows/matdog-restart-safe-v11.yml,83279626e6ad85dde45abe375e5190ac959f87c18e34b056fe93c5cc5117aa15,NORMACORE_EXPERIMENTAL_PR,PRIMARY,PR4 V18 reconstruction and validation,EXPERIMENTAL,Passing checks at preflight
N-PR-TIMEOUT,MattRobotics/norma-core,b06cc2bf2e36fb5bbaae12e48c5998c7668862ef,tools/matdog/apply_motion_timeout_v13.py,ad6a6800a5b420bdd941a3346597a6229c952ff7137c028dce0db79cf812cd24,NORMACORE_EXPERIMENTAL_PR,PRIMARY,Distance-aware timeout patch,EXPERIMENTAL,Not fork-main behavior
N-PR-HOME,MattRobotics/norma-core,b06cc2bf2e36fb5bbaae12e48c5998c7668862ef,tools/matdog/apply_probe_home_tolerance_v18.py,faecee7db2ad817099e5cf63fb456b32fc782a701f39211249eb52c54bd581fc,NORMACORE_EXPERIMENTAL_PR,PRIMARY,Active probe home tolerance patch,EXPERIMENTAL,Not fork-main behavior
N-PR-BUNDLE,MattRobotics/norma-core,b06cc2bf2e36fb5bbaae12e48c5998c7668862ef,tools/matdog/restart_safe_v11_bundle.part00.b64,8e76a0c866bc4cd8601842f9bf60e96578ec8945f1facf19f371e742adbbda93,NORMACORE_EXPERIMENTAL_PR,PRIMARY,Restart-safe patch bundle chunk,EXPERIMENTAL,One of four pinned chunks
N-UPSTREAM,norma-core/norma-core,external-reference,README.md,,NORMACORE_UPSTREAM_REFERENCE,REFERENCE,External architecture only,UNKNOWN_STATUS,Not a MATDOG gate and upstream PR4 is unrelated
X-README,MattRobotics/xgolite-low-level-reconstruction,xgolite-static-closure-h2-2026-07-30,README.md,3ccbd48a78ef77c2fa421d03ae096b3e1d81bfd70661556d86e78f1fb14a4a39,XGOLITE_ARCHITECTURAL_REFERENCE,REFERENCE,Static reconstruction overview,CURRENT_CANONICAL,Commit a1b34a8594e5bc76c76b1e3ddf89a3aef2b98298
X-LATEST,MattRobotics/xgolite-low-level-reconstruction,xgolite-static-closure-h2-2026-07-30,docs/handoffs/latest_handoff.md,70725ec0c730bc15d54648d5c0c00c73761b74a4ca608ed5fc1748f72f75645b,XGOLITE_ARCHITECTURAL_REFERENCE,REFERENCE,Latest static handoff,CURRENT_CANONICAL,Architecture only
X-MAIN-CHECK,MattRobotics/xgolite-low-level-reconstruction,xgolite-static-closure-h2-2026-07-30,docs/handoffs/2026-07-30_main_integration_checkpoint.md,247693c1dc6c15183198acb151ac345fca353956d614d202298ef17baef50720,XGOLITE_ARCHITECTURAL_REFERENCE,REFERENCE,Integrated proof boundary and counts,CURRENT_CANONICAL,Architecture only
X-H2-HANDOFF,MattRobotics/xgolite-low-level-reconstruction,xgolite-static-closure-h2-2026-07-30,docs/handoffs/2026-07-28_milestone_h2_maximum_static_closure.md,57d22b0c22d1a7e399dbc8d138d6c67a64626d94ed21f94f50fd7ddbb0b98025,XGOLITE_ARCHITECTURAL_REFERENCE,REFERENCE,H2 handoff,CURRENT_SUPPORTING,Architecture only
X-H2-CLOSE,MattRobotics/xgolite-low-level-reconstruction,xgolite-static-closure-h2-2026-07-30,docs/reverse/milestone_h2_closeout.md,1d0b765f1cfdd20080e33dee8a0fc9ffe171d806bd5ed6f4bf68f96ada0f94bc,XGOLITE_ARCHITECTURAL_REFERENCE,REFERENCE,H2 static closeout,CURRENT_CANONICAL,Physical constants prohibited
X-TRANSFER,MattRobotics/xgolite-low-level-reconstruction,xgolite-static-closure-h2-2026-07-30,docs/reverse/milestone_h2_matdog_transfer_boundary.md,aead97776d9aa807d9d2cd3daa1a1a3425bdf95cc4b7bf9f9e4e757e442aa140,XGOLITE_ARCHITECTURAL_REFERENCE,REFERENCE,MATDOG transfer boundary,CURRENT_CANONICAL,Architecture and interface patterns only
X-H1-SPEC,MattRobotics/xgolite-low-level-reconstruction,xgolite-static-closure-h2-2026-07-30,docs/reverse/milestone_h1_clean_room_interface_specification.md,006bc311d755afdcb28274475f7625b83b6912c2cbb13a11322d572d747dc84d,XGOLITE_ARCHITECTURAL_REFERENCE,REFERENCE,Logical interfaces unknown propagation and error boundaries,CURRENT_SUPPORTING,No physical constants transferred
X-RUNTIME,MattRobotics/xgolite-low-level-reconstruction,xgolite-static-closure-h2-2026-07-30,docs/reverse/milestone_g2_runtime_writer_closeout.md,380bd809affd0f7f94b321e4501a5d1aedb47544224dd899efd16339092666cb,XGOLITE_ARCHITECTURAL_REFERENCE,REFERENCE,Runtime ownership writer and failure patterns,CURRENT_SUPPORTING,Timing is not transferred
X-SCHEDULER,MattRobotics/xgolite-low-level-reconstruction,xgolite-static-closure-h2-2026-07-30,docs/reverse/milestone_g_gait_scheduler_reconstruction.md,c10ecfcfb44a7e517fb31f0350004e02b69684e72be0dfd1c80f8043f6ac3c70,XGOLITE_ARCHITECTURAL_REFERENCE,REFERENCE,Scheduler interface pattern,CURRENT_SUPPORTING,No gait constants transferred
X-IMU,MattRobotics/xgolite-low-level-reconstruction,xgolite-static-closure-h2-2026-07-30,docs/reverse/milestone_h_imu_sensor_acquisition.md,c1a8bc7947df505ae762816e73df5eead7385e2ba652561763605a50ad605abe,XGOLITE_ARCHITECTURAL_REFERENCE,REFERENCE,Estimator and acquisition separation,CURRENT_SUPPORTING,No mounting gains timing or bus data transferred
X-CLAIMS,MattRobotics/xgolite-low-level-reconstruction,xgolite-static-closure-h2-2026-07-30,evidence/consolidation/milestone_h1_canonical_claim_registry.csv,8fa9d3870c99be3d1a3ede4e873f0813c3aa84dce418da1c39410bce03fa5765,XGOLITE_ARCHITECTURAL_REFERENCE,REFERENCE,55 XGo claims with original confidence,CURRENT_CANONICAL,Not imported as MATDOG facts
X-UNRESOLVED,MattRobotics/xgolite-low-level-reconstruction,xgolite-static-closure-h2-2026-07-30,evidence/h2/unresolved_delta.csv,c5af0bbf022a5bb1089388aa88056537ff08eed075ccef5fdc4422127fe88fde,XGOLITE_ARCHITECTURAL_REFERENCE,REFERENCE,27 historical rows and 24 open,CURRENT_CANONICAL,Unknowns remain source qualified
X-MANIFEST,MattRobotics/xgolite-low-level-reconstruction,xgolite-static-closure-h2-2026-07-30,evidence/h2/source_manifest.csv,b9c5baa750913d73a3a11869c1bbfe3a06ea3a4e21351d64717a7575f950b804,XGOLITE_ARCHITECTURAL_REFERENCE,REFERENCE,75 source outcomes and external pins,CURRENT_CANONICAL,Architecture source qualification only
